publishyear,publisher,quote,bookname,author,translator,num,stars,price
2009-12,新世界出版社,原作名切题,你好，旧时光（上 下）,八月长安,,1,8.8,39.80元
2005年6月,哈尔滨出版社,曹七巧就像希克厉，一个扭曲的英雄,金锁记,张爱玲,,2,8.5,13.5元
2007-7,南海出版公司,超越语言与生死的爱,巴别塔之犬,[美] 卡罗琳·帕克丝特,何致和,3,7.7,22.00元
2004-1,商务印书馆,读书的方法论,如何阅读一本书,[美] 莫提默·J. 艾德勒,郝明义,4,8.5,38.00元
2010-10,长江文艺出版社,定做一个刻着“不过如此”的章，盖在封面上,橙,安东尼,,5,8.3,28.80元
1992-6,人民文学出版社,现实主义与浪漫主义的至高杰作,悲惨世界（上中下）,[法] 雨果,李丹,6,8.9,66.00元
2008-11,中国友谊出版公司,蛇沼鬼城，坑越挖越多了,盗墓笔记4,南派三叔,,7,8.4,32.80元
2005-5,上海译文出版社,恋味癖谋杀案,香水,[德] 帕·聚斯金德,李清华,8,8.5,20.00元
2010-01,江苏文艺出版社,所有你曾热爱却正在遗忘的人和事,那些回不去的年少时光,桐华,,9,8.5,23.80元
2007-6,北京十月文艺出版社,哀而不伤,梦里花落知多少,三毛,,10,8.8,28.00元
2004-1,远方出版社,大学生活启蒙读物,草样年华,孙睿,,11,7.2,19.50元
2008-1,东方出版社,不悔梦归处 只恨太匆匆,匆匆那年（上下）,九夜茴,,12,8.3,29.00
2006-8,译林出版社,每一座城市都只在想象中耸立，又在描述中坍圮,看不见的城市,[意大利]伊塔洛·卡尔维诺,张宓,13,8.8,16.00元
2002-8,作家出版社,你们不会彼此遗忘。只会彼此消失,蔷薇岛屿,安妮宝贝,,14,8.0,18.00元
2004-10,北方妇女儿童出版社,忧郁的温暖,我的路,寂地,,15,8.6,20.00元
2011-10-24,中信出版社,完美主义者的最高形态,史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森,管延圻,16,8.7,68.00元
2009-12-1,生活·读书·新知三联书店,我们现在怎样做母亲,孩子你慢慢来,龙应台,,17,8.8,28.00元
1997-03-01,外国文学出版社,妓女应当拥有爱情吗？,茶花女,小仲马,王振孙,18,8.1,9.00
2004-1,人民文学出版社,知识分子的命运浮沉,往事并不如烟,章诒和,,19,8.6,35.00元
2006-4,北方文艺出版社,生活就是个缓慢受锤的过程，至少还可以特立独行,一只特立独行的猪,王小波,,20,8.8,18.80元
2003-8,南海出版公司,现代上海史诗,长恨歌,王安忆,,21,8.2,22.00元
2006-12,北京十月文艺出版社,棋逢对手，心照不宣,倾城之恋,张爱玲,,22,8.7,29.80元
2004-6,哈尔滨出版社,淡泊，超脱,飞鸟集,[印] 罗宾德拉纳德·泰戈尔,徐翰林,23,8.8,16.80元
2001-9,中信出版社,鸡汤文始祖,谁动了我的奶酪？,[美] 斯宾塞·约翰逊,吴立俊,24,7.2,16.80元
2006-10,北京十月文艺出版社,抵不过时间,七夜雪,沧月,,25,8.5,25.00元
2007-1,花山文艺出版社,那些年错过的大雨,那些年，我们一起追的女孩,九把刀,,26,8.2,20.00元
2006-8,天津教育出版社,是“何事秋风悲画扇”，不是西风,人生若只如初见,安意如,,27,7.3,23.80元
2001-8,上海译文出版社,我们通过孤独与世界沟通,且听风吟,[日] 村上春树,林少华,28,7.8,11.80元
1996-10,译林出版社,激情燃烧的岁月，特殊年代的经典,钢铁是怎样炼成的,[苏] 尼·奥斯特洛夫斯基,曹缦西,29,7.6,20.00元
1997-08,人民文学出版社,远不是童话那么简单,安徒生童话故事集,（丹麦）安徒生,叶君健,30,9.1,25.00
1997年,人民文学出版社,中国乡村史诗,白鹿原,陈忠实,,31,8.6,28.00元
2009-3,长江文艺出版社,无关风月的非典型青春小说,西决,笛安,,32,8.0,22.80元
2010-3,长江文艺出版社,只言片语的温暖,这些都是你给我的爱,文：安东尼,,33,8.4,24.80元
2001-1,作家出版社,八月是一阵季风，生命是一场幻觉,八月未央,安妮宝贝,,34,7.5,16.00元
2011-9,译林出版社,平淡叙述下的惊心动魄,这些人，那些事,吴念真,,35,8.8,28.00元
1994-5,生活·读书·新知三联书店,武侠的壳，政治斗争的核,笑傲江湖（全四册）,金庸,,36,8.9,76.80元
1999-1,人民文学出版社,近乎暴虐的爱与恨，中文译名后无来者,呼啸山庄,艾米莉·勃朗特,张扬,37,8.4,27.30元
2006-12,北京十月文艺出版社,世钧，我们回不去了,半生缘,张爱玲,,38,8.6,28.00元
2000-1,中国社会科学出版社,七月与安生,告别薇安,安妮宝贝,,39,7.5,19.00
2007-4,人民文学出版社,在时间的缝隙中穿行，然后相遇,时间旅行者的妻子,[美] 奥德丽·尼芬格,夏金,40,8.1,29.90元
2015-7,江苏凤凰文艺出版社,莉迪亚死了，可他们还不知道,无声告白,[美] 伍绮诗,孙璐,41,8.2,35.00元
2009-1,广西师范大学出版社,献给这个常识稀缺的时代,常识,梁文道,,42,8.1,38.00
2012-6-20,湖南文艺出版社,为偷来的影子找到光芒,偷影子的人,(法)马克·李维,段韵灵,43,7.9,29.80元
1996-06,花城出版社,蚊子血还是饭黏子？,红玫瑰与白玫瑰,张爱玲,,44,8.4,12.80元
2006,安徽文艺出版社,盗墓祖师名不虚传,鬼吹灯之精绝古城,天下霸唱,,45,8.1,25.0
1973年3月,人民文学出版社,新文学的第一声呐喊,呐喊,鲁迅,,46,8.8,0.36元
2006-3,新世界出版社,霸道总裁爱上我,泡沫之夏,明晓溪,,47,7.0,20.00元
2005-5,新世界出版社,理想化,会有天使替我爱你,明晓溪,,48,6.8,20.00元
2009-4,北京十月文艺出版社,自传性作品，团圆只存在幻灭之中,小团圆,张爱玲,,49,7.6,28.00
2005-2,春风文艺出版社,女生间的微妙友谊,年华是无效信,落落,,50,7.6,20.00元
2004-10,天津人民出版社,遗忘就和记得一样是送给彼此的纪念,清醒纪,安妮宝贝,,51,7.9,22.00元
2006-5,人民文学出版社,谋杀诡计惊人，波洛的抉择耐人寻味,东方快车谋杀案,[英] 阿加莎·克里斯蒂,陈尧光,52,9.0,18.00元
2012-9-1,南海出版公司,义无反顾地直达爱情的核心,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,杨玲,53,8.9,39.50元
2009-6,上海三联书店,公民养成手册,民主的细节,刘瑜,,54,8.6,25.00
2007-1,吉林文史出版社,成熟的心智通向更完善的自我,少有人走的路,[美] M·斯科特·派克,于海生,55,8.3,26.00元
2008-12,人民文学出版社,龙应台母子对话，两代人的思想碰撞,亲爱的安德烈,龙应台,,56,8.7,26.00
2008-1,华夏出版社,都市灵修速成,遇见未知的自己,张德芬,,57,8.1,29.00
2007-9,上海人民出版社,唯有希望与爱可以驱散阴霾,灿烂千阳,[美] 卡勒德·胡赛尼,李继宏,58,8.7,28.00元
1981-8,群众出版社,侦探小说鼻祖,福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,丁钟华 等,59,9.2,53.00元/68.00元
2003-4,上海译文出版社,一个预言和一个寓言，令人窒息的政治恐怖,一九八四·动物农场,[英] 乔治·奥威尔,董乐山,60,9.2,23.00元
2009-4,中国海关出版社,不拘一格的历史书写,明朝那些事儿（1-9）,当年明月,,61,9.1,358.20元
2009年9月,南海出版公司,《白夜行》续篇，恶的幻夜吞噬一切,幻夜,〔日〕东野圭吾,李炜,62,7.6,28.00元
2004-1,南海出版公司,关于遗忘和记得的故事,二三事,安妮宝贝,,63,7.7,20.00元
2006-6,民族出版社,现世太苦，不如穿越回去从头来过,步步惊心,桐华,,64,8.1,25.00元
2006-3,上海文艺出版社,失控边缘的下部，但谁说荒诞就是不真,兄弟（下）,余华,,65,7.5,27.00元
2008-3,人民文学出版社,童谣杀人案,无人生还,[英] 阿加莎・克里斯蒂,祁阿红,66,8.9,19.00
2010-1,中信出版社,失恋是一种病，痊愈之后百毒不侵,失恋33天,鲍鲸鲸,,67,8.0,25.00元
2004-06,人民文学出版社,梦，就像黛西家的那一缕绿光,了不起的盖茨比,菲茨杰拉德,姚乃强,68,8.3,12.00元
2009年11月,南海出版公司,东野说，这是最纯粹的爱情,嫌疑人X的献身,（日）东野圭吾,刘子倩,69,9.0,19.80元
2006-10,上海译文出版社,我们非去不可，在到达之前，永不停止,在路上,[美] 杰克·凯鲁亚克,王永年,70,7.8,28.00元
2000-2-1,格林,月明星稀的晚上，看不见的，看见了,月亮忘記了,幾米,,71,8.5,NT$ 299
1999-04,生活·读书·新知三联书店,侠之大者，为国为民,射雕英雄传（全四册）,金庸,,72,8.9,47.00元
2003-6,哈尔滨出版社,沙漠中寻常的生与死,哭泣的骆驼,三毛,,73,8.9,15.80元
2007-10,朝华出版社,还在的只有回忆,原来你还在这里,辛夷坞,,74,7.7,25.00元
2004-1,华文出版社,象牙塔里的金庸群侠,此间的少年,江南,,75,8.4,25.00元
2007-4,中国友谊出版公司,圣人般的王守仁，大娱乐家朱厚照,明朝那些事儿（叁）,当年明月,,76,8.9,24.80
2007-1,中国友谊出版公司,万国来朝与北京保卫战，燃,明朝那些事儿（贰）,当年明月,,77,8.9,24.80
2009-1,南海出版公司,村上同志告诉我们，身体是革命的本钱,当我谈跑步时我谈些什么,[日] 村上春树,施小炜,78,8.1,25.00
1999-10,上海译文出版社,正是悲壮赋予生活以意义,老人与海,海明威,吴劳,79,8.3,8.20元
2015-5,江苏凤凰文艺出版社,爱书的人从不孤独,岛上书店,[美] 加布瑞埃拉·泽文,孙仲旭,80,7.7,CNY 35.00
2008-10,长江文艺出版社,温习了很多奢侈品品牌名称,小时代1.0折纸时代,郭敬明,,81,6.7,29.80元
1989-10,上海译文出版社,拉丁美洲圣经,百年孤独,[哥伦比亚] 加西亚·马尔克斯,黄锦炎,82,8.9,12.70元
2005-12,上海译文出版社,我的生命之光，我的欲望之火,洛丽塔,[美] 弗拉基米尔·纳博科夫,主万,83,7.7,27.00元
2007-9,作家出版社,呢喃自语，清简自持,素年锦时,安妮宝贝,,84,7.8,27.00元
2010-6,南海出版公司,情节铺展渐次清明，高潮序曲,1Q84 BOOK 2,[日] 村上春树,施小炜,85,8.4,36.00元
2009-10-1,广西师范大学出版社,作为一种美学的孤独,孤独六讲,蒋勋,,86,8.1,36.00元
2007-4,中国友谊出版公司,秦岭神树细思极恐,盗墓笔记2,南派三叔,,87,8.2,26.80元
2010-4-1,北京十月文艺出版社,栗树荫下，我出卖你，你出卖我,1984,[英] 乔治·奥威尔,刘绍铭,88,9.3,28.00元
2007-9,中国友谊出版公司,大明朝当真名士如云,明朝那些事儿（肆）,当年明月,,89,8.8,24.80
2008-3,广州出版社 花城出版社,武侠的解构，流氓的狂欢,鹿鼎记（全五册）,金庸,,90,8.8,108.00元
